Base Color,Complementary Colors,Occasions
red,"blue, black, white","casual, party"
blue,"white, gray, black","formal, casual"
yellow,"black, navy, white","casual, festive"
green,"white, beige, black","formal, casual"
black,"white, red, yellow",all occasions
white,"blue, black, red","formal, casual"
pink,"white, gray, navy","party, festive"
purple,"black, white, gray","formal, casual"
orange,"blue, white, black","casual, festive"
brown,"white, beige, black","formal, casual"
teal,"white, gray, navy","casual, party"
maroon,"gold, white, beige","formal, casual"
navy,"white, beige, gray","formal, casual"
gray,"blue, white, black","formal, casual"
beige,"blue, gray, white","formal, casual"
lime,"white, navy, black","festive, casual"
olive,"white, beige, navy","casual, formal"
gold,"black, white, beige","festive, formal"
coral,"white, beige, navy","casual, party"
turquoise,"black, white, navy","casual, festive"
